Timestamp, MAC Address, RSSI, Device ID, Sensor Value
2025-04-15T15:32:00.491228,d8:a3:5c:64:11:b3,-88,N/A,N/A,Not Parsed
2025-04-15T15:32:00.508447,5e:e4:8c:79:f6:0b,-72,N/A,N/A,Not Parsed
2025-04-15T15:32:00.517654,d8:3a:dd:37:64:e3,-63,98765,23.5000,Queued
2025-04-15T15:32:00.532405,ac:f1:08:37:12:97,-79,N/A,N/A,No Manuf Data
2025-04-15T15:32:00.542272,54:ef:44:37:bc:10,-74,N/A,N/A,No Manuf Data
2025-04-22T13:13:45.976879,d8:3a:dd:37:64:e3,-48,98765,23.5000,N/A
2025-04-22T13:14:20.551733,d8:3a:dd:37:64:e3,-47,98765,23.5000,N/A
2025-04-22T13:18:39.276294,d8:3a:dd:37:64:e3,-55,98765,23.5000,N/A
2025-04-22T13:19:54.324333,d8:3a:dd:37:64:e3,-51,98765,23.5000,N/A
2025-04-22T13:21:21.404684,d8:3a:dd:37:64:e3,-51,98765,23.0000,N/A
2025-05-06T12:53:43.697231,4a:dc:d7:c2:5a:ec,-69,N/A,N/A,Not Parsed
2025-05-06T12:53:43.712239,70:78:24:89:85:00,-77,N/A,N/A,Not Parsed
2025-05-06T12:53:43.720815,ac:f1:08:37:12:97,-79,N/A,N/A,No Manuf Data
2025-05-06T12:53:43.729179,b8:78:2e:2a:00:f7,-80,N/A,N/A,Not Parsed
2025-05-06T12:53:43.742688,2f:00:85:0b:7f:2e,-79,N/A,N/A,No Manuf Data
2025-05-06T12:53:43.750975,d8:a3:5c:64:11:b3,-89,N/A,N/A,Not Parsed
2025-05-06T12:53:43.760024,f8:b9:5a:ac:f8:45,-76,N/A,N/A,No Manuf Data
2025-05-06T12:53:43.779024,73:7f:34:c5:e7:ca,-81,N/A,N/A,Not Parsed
2025-05-06T12:53:43.791896,d8:3a:dd:37:64:e3,-58,98765,23.0000,Queued
2025-05-06T12:53:43.807391,54:ef:44:37:bc:10,-67,N/A,N/A,No Manuf Data
2025-05-06T12:53:43.816278,a0:d0:5b:d0:24:6d,-95,N/A,N/A,Not Parsed
2025-05-06T13:02:54.495929,69:8c:07:aa:cd:68,-77,N/A,N/A,Not Parsed
2025-05-06T13:02:54.507284,70:1b:ae:a0:13:6a,-70,N/A,N/A,Not Parsed
2025-05-06T13:02:54.518321,d8:a3:5c:64:11:b3,-89,N/A,N/A,Not Parsed
2025-05-06T13:02:54.526581,b8:78:2e:2a:00:f7,-83,N/A,N/A,Not Parsed
2025-05-06T13:02:54.533816,2d:cf:bc:26:d3:03,-76,N/A,N/A,No Manuf Data
2025-05-06T13:02:54.541148,d8:3a:dd:37:64:e3,-59,98765,23.0000,Queued
2025-05-06T13:02:54.552277,f8:b9:5a:ac:f8:45,-72,N/A,N/A,No Manuf Data
2025-05-06T13:02:54.560115,ac:f1:08:37:12:97,-80,N/A,N/A,No Manuf Data
2025-05-06T13:02:54.569785,73:7f:34:c5:e7:ca,-85,N/A,N/A,Not Parsed
2025-05-06T13:02:54.576454,54:ef:44:37:bc:10,-65,N/A,N/A,No Manuf Data
2025-05-06T13:11:15.147754,72:4c:33:0e:49:8f,-76,N/A,N/A,Not Parsed
2025-05-06T13:11:15.166588,4b:55:90:1b:65:9c,-69,N/A,N/A,Not Parsed
2025-05-06T13:11:15.175204,b8:78:2e:2a:00:f7,-82,N/A,N/A,Not Parsed
2025-05-06T13:11:15.183158,f8:b9:5a:ac:f8:45,-70,N/A,N/A,No Manuf Data
2025-05-06T13:11:15.191909,d8:3a:dd:37:64:e3,-55,98765,23.0000,Queued
2025-05-06T13:11:15.205049,d8:a3:5c:64:11:b3,-90,N/A,N/A,Not Parsed
